AltTime,Altitiude
1.42,98.17176646541431
1.43,98.99424467955384
1.44,100.98210682308078
1.45,102.37551540760624
1.46,103.63885879882552
1.47,104.93077438419192
1.48,106.4613385283464
1.49,107.84264959049011
1.5,109.5786366886248
1.51,110.98776196083587
1.52,112.39902235736253
1.53,113.96710866358744
1.54,115.70042836213334
1.55,117.07133307637021
1.56,117.9501819780754
1.57,119.43070278714102
1.58,121.69074339052234
1.59,122.76205337057371
1.6,124.38104403324074
1.61,125.59340669626906
1.62,127.20784666770855
1.63,129.5107473637974
1.64,130.4626002804692
1.65,131.91049254111473
1.66,133.4459109497429
1.67,135.32615712919488
1.68,137.06132633469858
1.69,138.0846592364646
1.7,140.1654212363977
1.71,141.39568398014288
1.72,143.4862022603341
1.73,144.7373801459972
1.74,146.59885279484848
1.75,147.8275863976452
1.76,149.60927243556873
1.77,151.16087361834178
1.78,153.43045335865258
1.79,154.78042626261802
1.8,156.33508233779406
1.81,157.7034081654462
1.82,159.17243714185423
1.83,161.17259166124495
1.84,163.1570442098636
1.85,164.8699655377003
1.86,166.42648980548975
1.87,167.77813344395213
1.88,169.54789712054037
1.89,171.50003188008438
1.9,173.3369415103082
1.91,174.83423849394916
1.92,176.5993623617541
1.93,178.44848314290957
1.94,180.27197906136826
1.95,181.95429722753434
1.96,183.2774459247437
1.97,185.2213032286443
1.98,187.71254753529888
1.99,188.9332880164763
2.0,190.72467877881218
2.01,191.82288325735178
2.02,193.9794338966096
2.03,195.4742380110534
2.04,197.47008852352252
2.05,198.95953753198896
2.06,200.41331552381476
2.07,202.1588446341807
2.08,203.86730094018162
2.09,205.5807230823555
2.1,207.2223539968441
2.11,208.81717279946997
2.12,210.68567561856636
2.13,212.31538613827252
2.14,214.19385143449145
2.15,216.35422702137208
2.16,217.5267046581745
2.17,219.13879891062686
2.18,220.89994166095065
2.19,222.69906836436405
2.2,224.3963800806589
2.21,225.7340404312875
2.22,227.79548954749535
2.23,229.3884931229263
2.24,230.6785845805066
2.25,232.25940223083794
2.26,233.77408750654993
2.27,235.87912313010582
2.28,236.94361658923833
2.29,238.67123043151875
2.3,240.73888887267205
2.31,242.21517629141417
2.32,243.9265873563808
2.33,245.7248911484849
2.34,246.8124872024328
2.35,248.84803921899362
2.36,250.5040203286963
2.37,251.67150805483558
2.38,253.2887284035525
2.39,255.2964738164812
2.4,256.34017356073736
2.41,257.73017411637693
2.42,259.38524202260743
2.43,261.43398300734435
2.44,262.637015368886
2.45,264.70208051790144
2.46,265.82996867558944
2.47,267.8655471158402
2.48,268.8490993123785
2.49,270.4255866340602
2.5,271.98885595494716
2.51,273.21295861074714
2.52,275.40978646168344
2.53,276.56665702042534
2.54,277.9719239234891
2.55,279.53521036991594
2.56,281.4474565689607
2.57,282.7504653346086
2.58,284.0832211151209
2.59,285.70921668419794
2.6,286.99110081513885
2.61,288.9397022949916
2.62,290.12925096901523
2.63,291.7058853701566
2.64,292.975290261309
2.65,294.4682791353656
2.66,296.0167495481899
2.67,297.4332683357107
2.68,298.68325950678184
2.69,300.29783265298073
2.7,302.01560949619403
2.71,303.21093892810086
2.72,304.38855681736857
2.73,306.3288323445529
2.74,307.5927581486896
